# win,br,misp%,MPKI,extra%,i/blk,br/blk,true_blk%,bim%,T0%,T1%,T2%,T3%,T4%,T5%,T6%,T7%,T8%,T9%,T10%,T11%,T12%,T13%,alloc_ok%,acc_avg,alloc_avg,Tlast_evict,Tlast_zu%,Tlast_avgp,coll%,Tlast_used,win_stuck,win_hard,dir_misp%,bnd_misp%,micro_p50_mpki,micro_p95_mpki,phase_delta_avg,phase_max_delta,jaccard,pingpong,cf_fb_only%,cf_tage_only%,prov_no_tag%,prov_sec_rej%,prov_meta_alt%,prov_meta_pri%,prov_no_meta%,cf_sec_fb_acc%,cf_sec_tage_acc%,ben_rej%,ben_incr%,ben_decr%,ben_ctr_avg,trace_count
28,100000,16.0000,28.8045,27.5500,11.3500,1.7500,86.5500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.9000,1012.6500,1018.0500,210.0000,100.0000,0.0000,14.5500,798.0000,105.0000,76.0000,50.9500,49.0500,52.5000,52.5000,4.9750,45.1200,0.4230,1235.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
29,100000,14.4000,23.9900,26.2500,12.0000,1.8500,86.6500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2500,1019.7500,1019.7500,126.0000,100.0000,0.0000,15.1500,708.0000,56.5000,44.0000,49.1000,50.9000,52.5000,52.5000,5.1450,19.1450,0.3605,1276.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
30,100000,12.8500,22.5425,22.4000,11.2000,1.7500,88.5000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6500,1019.2500,1021.5000,84.5000,100.0000,0.0000,15.1500,751.0000,119.5000,50.5000,48.7500,51.2500,52.5000,52.5000,5.2700,58.4000,0.5315,1219.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
31,100000,13.7500,21.6405,25.9500,12.6000,1.9500,86.8500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.9000,1020.0500,1020.1000,137.0000,100.0000,0.0000,17.4000,786.0000,94.0000,58.5000,49.4000,50.6000,52.5000,52.5000,5.8900,25.9750,0.6380,1439.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
32,100000,13.3000,20.3430,24.6000,12.4000,1.8500,87.3000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6000,1020.6500,1020.6500,101.0000,100.0000,0.0000,17.7000,797.5000,101.5000,61.0000,48.5500,51.4500,52.5000,52.5000,5.5800,24.4150,0.7140,1521.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
33,100000,12.9000,18.2990,23.4000,12.7000,1.8500,87.8000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.3000,1017.3000,1017.3000,200.5000,100.0000,0.0000,15.0000,741.0000,83.0000,44.0000,47.9000,52.1000,52.5000,52.5000,4.7050,22.0700,0.4405,1255.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
34,100000,14.3000,25.9860,27.6000,11.6500,1.9000,85.9500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5500,1016.0000,1016.0000,143.5000,100.0000,0.0000,13.2500,624.5000,56.5000,36.0000,49.1500,50.8500,52.5000,52.5000,5.1100,22.6550,0.4690,1260.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
35,100000,10.9500,16.2225,19.8000,12.0000,1.8000,89.5500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.7500,1021.2000,1021.2000,76.5000,100.0000,0.0000,11.9500,558.0000,43.0000,30.5000,46.5500,53.4500,52.5000,52.5000,4.1750,23.4350,0.5195,1073.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
36,100000,14.3500,25.4725,25.9000,11.4000,1.8000,86.5500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.8500,1021.5000,1021.5000,64.5000,100.0000,0.0000,16.4500,678.0000,90.5000,52.5000,48.0500,51.9500,52.5000,52.5000,4.8400,27.1500,0.3015,1278.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
37,100000,12.8500,22.2665,22.9500,11.2500,1.7500,88.0500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.9000,1021.9500,1021.9500,45.5000,100.0000,0.0000,15.7500,633.0000,91.0000,47.0000,47.7500,52.2500,52.5000,52.5000,4.6850,18.9450,0.6175,1561.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
38,100000,13.7500,23.6725,24.9000,11.3500,1.8500,87.3500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.8500,1018.8500,1018.8500,112.0000,100.0000,0.0000,16.5500,722.0000,109.5000,48.0000,49.0500,50.9500,52.5000,52.5000,4.1700,16.9950,0.6250,1597.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
39,100000,10.4500,14.9540,19.2500,12.3500,1.9000,90.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.2000,1018.6500,1018.6500,109.5000,100.0000,0.0000,15.8000,638.0000,80.5000,39.0000,47.3500,52.6500,47.5000,52.5000,4.0950,23.4350,0.5825,1139.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
40,100000,10.7000,16.0495,19.7000,12.4000,1.8500,89.4500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6500,1016.9500,1016.9500,163.5000,100.0000,0.0000,12.1500,642.5000,59.0000,37.0000,45.9000,54.1000,52.5000,52.5000,4.2600,21.2850,0.4905,1145.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
41,100000,14.1000,21.1540,27.1000,13.3500,1.9000,86.4500,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.1000,871.2500,871.6000,1122.0000,100.0000,0.0000,19.0500,760.0000,73.0000,35.5000,50.1000,49.9000,52.5000,52.5000,4.7650,22.8550,0.3740,1594.5000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2
42,100000,10.9000,21.1170,21.5000,10.2000,2.0000,89.4000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.5000,1022.0000,1022.0000,68.0000,100.0000,0.0000,20.2000,364.0000,111.0000,38.0000,50.9000,49.1000,52.5000,52.5000,4.1400,19.5300,0.2670,691.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
43,100000,11.4000,25.9310,22.7000,8.7000,2.0000,88.8000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.6000,1021.9000,1021.9000,65.0000,100.0000,0.0000,17.4000,345.0000,97.0000,43.0000,50.4000,49.6000,52.5000,52.5000,4.1900,19.1400,0.5030,1367.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
44,100000,12.9000,22.9330,22.1000,9.6000,1.7000,88.7000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.9000,1020.8000,1020.8000,151.0000,100.0000,0.0000,16.2000,424.0000,82.0000,46.0000,49.0000,51.0000,52.5000,52.5000,4.1000,21.8800,0.1050,627.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
45,100000,16.1000,34.1350,25.7000,7.5000,1.6000,87.9000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.2000,1015.5000,1018.6000,302.0000,100.0000,0.0000,19.4000,738.0000,272.0000,160.0000,53.1000,46.9000,52.5000,52.5000,6.4100,77.7300,0.1170,684.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
46,100000,7.5000,17.6500,15.2000,8.6000,2.0000,92.4000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9000,1015.6000,1015.6000,338.0000,100.0000,0.0000,18.9000,498.0000,143.0000,43.0000,49.7000,50.3000,47.5000,52.5000,3.5500,36.7200,0.1270,425.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
